seconds_elapsed,rms,spectral_centroid,zcr,activity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5
0,0.0934599,3065.5720761492735,0.039976728723404256,danger_running,-221.9221,133.77228,-48.481735,37.483395,-35.099285
1,0.09911716,3236.4295398861714,0.045763380984042555,danger_running,-178.69704,142.73491,-49.568546,34.948845,-31.535366
2,0.05718679,3947.5853733991385,0.07897170046542554,danger_running,-196.27592,138.31056,-55.704315,43.366714,-41.938927
3,0.10491892,3290.396608636466,0.059393700132978726,danger_running,-181.8285,143.663,-31.860044,40.4681,-37.923172
4,0.16692182,2977.3530798481024,0.04505173703457447,danger_running,-131.36015,153.01228,-31.95339,48.291695,-33.540432
5,0.1555681,3981.811054640826,0.08482588098404255,danger_running,-121.57694,130.36752,-36.06314,61.371456,-30.340311
6,0.14848311,3994.482868902861,0.1081075465425532,danger_running,-117.116066,137.00432,-44.692715,60.867233,-33.75536
7,0.13051845,3912.5427698543454,0.09412919714095745,danger_running,-124.42912,136.99448,-46.443546,56.53112,-31.88041
8,0.1867608,3947.400948010171,0.1023416722074468,danger_running,-92.16834,142.63101,-39.693653,62.09636,-35.360905
9,0.14180268,3411.659311037839,0.06887362865691489,danger_running,-140.28056,137.67169,-28.267408,52.45996,-20.089186
10,0.16408882,3032.4828685003686,0.051851313164893616,danger_running,-145.03445,144.46735,-22.367006,58.48677,-19.291811
11,0.16534196,2161.7294931444167,0.02937479222074468,danger_running,-188.8063,162.7577,-1.9662393,50.98821,-16.75449
12,0.1348843,2151.284280155428,0.027442445146276594,danger_running,-213.30751,160.81627,-0.076658286,55.67827,-14.31161
13,0.16421813,1785.1852975707086,0.027000914228723406,danger_running,-214.58824,179.01608,0.68808115,47.254883,-13.217838
14,0.102391936,1920.4659792834375,0.023660862699468085,danger_running,-253.37737,159.20891,2.8267105,43.198612,-9.193555
15,0.15346934,1473.4001132536737,0.01595225232712766,danger_running,-226.52104,173.09703,17.277645,53.05565,-6.0286217
16,0.12450655,1926.7393807754784,0.02783722573138298,danger_running,-220.4526,162.46536,-5.578888,52.634438,-7.5112185
17,0.14417255,1650.9202366484642,0.01871571642287234,danger_running,-224.89607,168.86183,13.372777,50.28639,-11.037139
18,0.15485081,1745.5660606112367,0.02196746176861702,danger_running,-228.06502,163.58742,8.241471,54.142017,-7.169144
19,0.13797994,1592.1580895909024,0.019297498337765957,danger_running,-229.90343,171.64983,9.912489,57.391087,-9.660068
20,0.11620786,2487.0874205394425,0.034517328789893616,danger_running,-209.82991,149.57745,0.5039655,56.92953,-17.589996
21,0.15123343,1998.4660406131025,0.026413937832446808,danger_running,-207.95737,165.85025,5.2744718,51.708363,-18.066706
22,0.13073872,2170.223280978713,0.02953582114361702,danger_running,-207.86574,162.28535,-4.596864,43.80648,-14.107755
23,0.20217922,1814.838113686176,0.022247963763297872,danger_running,-184.10028,172.1907,10.840038,51.584805,-13.840261
24,0.21337174,1498.1905670987705,0.02331283244680851,danger_running,-187.3061,194.46405,2.8796062,36.571453,-12.088012
25,0.12963335,1520.506906487986,0.017801487699468085,danger_running,-246.22401,178.30635,11.193572,43.725037,-8.616661
26,0.122847565,1699.2101050794017,0.02489714926861702,danger_running,-255.58221,169.25536,16.184034,43.01681,-4.617007
27,0.08591859,1909.7931405068664,0.026019157247340427,danger_running,-263.9225,163.06714,2.3951612,42.754105,-14.8971815
28,0.050324332,3044.4376465231303,0.054178440824468085,danger_running,-248.19295,149.94722,-24.455263,47.13569,-24.09283
29,0.05828674,3349.7874427583974,0.06789706615691489,danger_running,-215.00705,133.26427,-24.583784,34.274952,-18.3628
30,0.068090275,2931.824765241034,0.0373794880319149,danger_running,-233.34656,138.91962,-14.546923,45.674213,-16.019817
31,0.09407756,2289.9509232798864,0.030304604388297872,danger_running,-227.59767,153.0272,-10.819443,44.07104,-13.928382
32,0.107200615,2080.1226078815266,0.029972157579787235,danger_running,-228.87178,158.55829,-9.213538,49.034393,-5.285162
33,0.11315769,2665.5451283069547,0.047010056515957445,danger_running,-212.14311,150.07823,-11.313508,47.81099,-15.393785
34,0.07758497,3302.25723802332,0.0583755817819149,danger_running,-203.17763,141.95218,-22.383919,56.329517,-26.310118
35,0.08000233,2886.1559821663986,0.047815201130319146,danger_running,-191.97714,153.55847,-25.598919,45.117535,-28.400066
36,0.13774149,2288.828262495702,0.02872548204787234,danger_running,-190.27377,158.7384,-8.388742,50.454994,-15.354886
37,0.13959266,2530.0456809267434,0.037332737699468085,danger_running,-175.07674,160.88194,-12.060526,43.053806,-20.372093
38,0.15010841,2015.5782151611,0.03230967420212766,danger_running,-178.56866,177.90775,-13.277936,42.702015,-19.46575
39,0.18406457,1578.9875707272997,0.022793384308510637,danger_running,-178.79613,194.5012,-1.1470971,36.211185,-23.948187
40,0.12628122,1843.954073738519,0.024071226728723406,danger_running,-203.96713,177.7497,-4.8619437,47.9502,-17.822811
41,0.11505341,2527.358113573753,0.042859665890957445,danger_running,-181.13641,161.91472,-15.576885,43.739174,-24.879538
42,0.14156371,2449.2936894906934,0.03784699135638298,danger_running,-166.19139,165.00487,-14.573099,42.73475,-22.503763
43,0.15093237,2820.9558635824997,0.044121924867021274,danger_running,-156.29298,158.14781,-14.704951,56.06098,-28.161497
44,0.13746743,2552.806464374911,0.044080369015957445,danger_running,-160.69553,167.21844,-24.136496,43.42883,-27.346256
45,0.14573212,2263.412221879214,0.04153507313829787,danger_running,-164.06656,170.21634,-28.080236,43.858574,-16.300999
46,0.14924541,2406.6512633042844,0.04036631482712766,danger_running,-162.75162,166.91792,-18.926764,45.896023,-18.052944
47,0.1347772,3092.7316702376233,0.06073387632978723,danger_running,-150.35916,148.67494,-24.334436,53.955322,-23.37298
48,0.18201256,2416.299181784024,0.03930144614361702,danger_running,-162.03072,161.39078,-3.3473885,53.552017,-17.333372
49,0.1611449,2053.15747092547,0.03166036402925532,danger_running,-182.80997,175.79135,-3.2538335,49.033535,-22.181484
50,0.13573359,1977.2524413173949,0.022653133311170214,danger_running,-203.77373,168.3798,-5.758336,52.945328,-16.928198
51,0.15400633,1964.013588155719,0.027972282247340427,danger_running,-194.48631,168.70003,2.7437904,50.966183,-15.416045
52,0.16138531,1643.5078412049368,0.021089594414893616,danger_running,-197.69939,186.30258,0.97230816,41.494373,-17.966925
53,0.16948746,1474.9220698670874,0.01750020777925532,danger_running,-218.36649,180.05597,14.353712,48.226963,-8.140973
54,0.14598347,1723.239348790991,0.0238530585106383,danger_running,-225.85907,170.66118,8.01774,50.60741,-9.521278
55,0.08266379,2144.868737639928,0.02916701296542553,danger_running,-242.95523,164.2612,-11.653201,39.10008,-18.328382
56,0.0683664,2527.4235234739585,0.035623753324468085,danger_running,-231.21185,158.54562,-26.827223,47.076416,-21.934357
57,0.10831538,2827.6685375019324,0.03807554853723404,danger_running,-193.9301,147.3921,-20.36677,56.092922,-19.534224
58,0.11168392,2251.7877770149107,0.03040849401595745,danger_running,-218.58601,152.5786,-10.959744,38.162758,-7.8767114
59,0.084175155,2930.7426449866603,0.0389638048537234,danger_running,-206.84552,144.73474,-21.740362,48.572124,-21.516487
60,0.14625193,2718.6964793059,0.0335927111037234,danger_running,-190.49248,147.87521,-11.691535,60.201515,-17.218988
61,0.19580388,1892.3228013424487,0.029494265292553192,danger_running,-187.94783,173.1846,-1.3055369,55.471306,-12.609426
62,0.11552611,2271.091952737922,0.035218583776595744,danger_running,-215.20612,160.71718,-7.365613,43.193096,-17.751118
63,0.12427479,2182.502831117722,0.025380236037234043,danger_running,-215.75058,158.59117,-1.2212797,45.655815,-14.495387
64,0.08233841,3839.0968445926865,0.10563497340425532,danger_running,-185.94434,140.57397,-39.249195,40.37714,-37.897057
65,0.117263995,2812.86304227642,0.0411143201462766,danger_running,-197.69392,143.25096,-23.427519,50.342094,-19.16063
66,0.15238422,2646.0363511124683,0.04561274102393617,danger_running,-173.64087,158.07193,-22.138023,47.358513,-25.075434
67,0.14437743,2310.3036456549457,0.04145715591755319,danger_running,-188.16301,162.6561,-16.250221,35.72425,-15.597802
68,0.121164456,2379.9715947123773,0.03678731715425532,danger_running,-210.82185,156.2102,-14.367845,39.18054,-14.510341
69,0.1389507,2214.4398530387207,0.02790994847074468,danger_running,-221.65729,158.74379,-4.6925125,49.406784,-16.077206
70,0.09342932,2361.3728806763943,0.035696476063829786,danger_running,-237.1699,149.92574,-6.6737385,41.48725,-14.638578
71,0.15384959,1978.008805766557,0.025364652593085107,danger_running,-215.03442,160.21437,0.2981336,53.08633,-6.9622836
72,0.14659782,2318.0745749336356,0.02999293550531915,danger_running,-207.71893,152.38013,-1.0469654,51.7537,-9.571285
73,0.15068308,2331.5851737645557,0.03987283909574468,danger_running,-193.0147,158.92233,-15.041321,50.35314,-13.681387
74,0.111769505,2506.5519490832457,0.03716651429521277,danger_running,-208.04922,156.70058,-15.215932,49.064297,-18.821115
